,coverage,log_bit_score,% identity,log_e_value
mean1,0.29262450018983155,3.951601591191239,31.296149291644678,-33.87503747298152
mean2,0.8716776336953541,5.818135002225887,95.88465565004509,-6.655029493161152
threshold,0.5821510669425929,4.884868296708563,63.590402470844886,-20.265033483071335
