,coverage,log_bit_score,% identity
mean1,0.29262450018983144,3.951601591191239,31.296149291644678
mean2,0.871677633695354,5.818135002225888,95.88465565004509
threshold,0.5881253025301756,4.374845482385934,43.07266256024698
